DateTime,MWh,LME,Hour,WeekDay,Month,Day,energy,daily_max_energy,DR_underclock_threshold,DR_flag,energy_daily_avg_no_dr,energy_savings,DR_percent,curtailment_start,curtailment_end,DR_active,induced_emissions,avoided_emissions,net_emissions
2023-08-19 04:00:00,92.7987879,0.386034,4,5,8,19,92.7987879,98.31866121,88.486795089,False,95.4217742357143,2.6229863357143017,2.748834169898064,False,True,True,35.823487288188595,1.0125619071211347,34.81092538106746
2023-08-19 05:00:00,96.7721566,0.391984,5,5,8,19,96.7721566,98.31866121,88.486795089,False,95.4217742357143,-1.3503823642857071,0.0,False,False,False,37.933137032694404,0.0,37.933137032694404
2023-08-19 06:00:00,97.83646144,0.399284,6,5,8,19,97.83646144,98.31866121,88.486795089,False,95.4217742357143,-2.4146872042856984,0.0,False,False,False,39.064533669608956,0.0,39.064533669608956
2023-08-19 07:00:00,98.31866121,0.398414,7,5,8,19,98.31866121,98.31866121,88.486795089,False,95.4217742357143,-2.8968869742857066,0.0,False,False,False,39.17153108732094,0.0,39.17153108732094
2023-08-19 08:00:00,97.47511783,0.385187,8,5,8,19,97.47511783,98.31866121,88.486795089,False,95.4217742357143,-2.053343594285707,0.0,False,False,False,37.54614821158421,0.0,37.54614821158421
2023-08-19 09:00:00,96.62927763,0.443086,9,5,8,19,96.62927763,98.31866121,88.486795089,False,95.4217742357143,-1.207503394285709,0.0,False,False,False,42.81508010796618,0.0,42.81508010796618
2023-08-19 10:00:00,95.75410046,0.375059,10,5,8,19,95.75410046,98.31866121,88.486795089,False,95.4217742357143,-0.33232622428570835,0.0,False,False,False,35.91343716442714,0.0,35.91343716442714
2023-08-19 11:00:00,95.23711532,0.344431,11,5,8,19,95.23711532,98.31866121,88.486795089,False,95.4217742357143,0.18465891571429438,0.19351863575512995,False,False,False,32.80261486678292,0.0,32.80261486678292
2023-08-19 12:00:00,93.81691594,0.353488,12,5,8,19,93.81691594,98.31866121,88.486795089,False,95.4217742357143,1.604858295714294,1.6818575304939472,False,False,False,33.16315398179872,0.0,33.16315398179872
2023-08-19 13:00:00,94.55219482,0.273864,13,5,8,19,94.55219482,98.31866121,88.486795089,False,95.4217742357143,0.8695794157142984,0.9113008248685798,False,False,False,25.894442282184478,0.0,25.894442282184478
2023-08-19 14:00:00,97.54098491,0.353232,14,5,8,19,97.54098491,98.31866121,88.486795089,False,95.4217742357143,-2.1192106742857106,0.0,False,False,False,34.45459718172912,0.0,34.45459718172912
2023-08-19 15:00:00,96.92867775,0.5165449999999999,15,5,8,19,96.92867775,98.31866121,88.486795089,False,95.4217742357143,-1.5069035142857103,0.0,True,False,True,50.06802384837375,0.0,50.06802384837375
2023-08-19 16:00:00,84.26828993,0.640595,16,5,8,19,84.26828993,98.31866121,88.486795089,True,95.4217742357143,11.1534843057143,11.688615512600471,False,False,True,53.98184518770835,7.144866278819053,46.8369789088893
2023-08-19 17:00:00,73.89089255,0.663226,17,5,8,19,73.89089255,98.31866121,88.486795089,True,95.4217742357143,21.53088168571429,22.56390835128252,False,False,True,49.0063611023663,14.279840536889546,34.726520565476754
2023-08-19 18:00:00,68.01956004,0.72397,18,5,8,19,68.01956004,98.31866121,88.486795089,True,95.4217742357143,27.402214195714294,28.716940567489722,False,False,True,49.2441208821588,19.838381011271277,29.405739870887526
2023-08-19 19:00:00,61.07633606,0.974317,19,5,8,19,61.07633606,98.31866121,88.486795089,True,95.4217742357143,34.34543817571429,35.99329235995231,False,False,True,59.50771252097102,33.46334428704742,26.0443682339236
2023-08-19 20:00:00,58.25686508,0.541147,20,5,8,19,58.25686508,98.31866121,88.486795089,True,95.4217742357143,37.1649091557143,38.94803827888193,False,False,True,31.52552776744676,20.111679094887325,11.413848672559435
2023-08-19 21:00:00,57.18195035,0.761676,21,5,8,19,57.18195035,98.31866121,88.486795089,True,95.4217742357143,38.239823885714294,40.07452616763644,False,False,True,43.5541192147866,29.12635609797532,14.427763116811281
2023-08-19 22:00:00,18.38007528,0.338792,22,5,8,19,18.38007528,98.31866121,88.486795089,True,95.4217742357143,77.0416989557143,80.73807008178565,False,False,True,6.2270224642617595,26.101111272604356,-19.8740888083426
2023-08-19 23:00:00,17.64008412,0.5603619999999999,23,5,8,19,17.64008412,98.31866121,88.486795089,True,95.4217742357143,77.7816901157143,81.51356515712564,False,False,True,9.88483281765144,43.58590343662189,-33.70107061897045
2023-08-20 00:00:00,63.97604948,0.3900969999999999,0,6,8,20,63.97604948,96.61257208,86.95131487200001,True,94.58560527642855,30.609555796428552,32.36174860537334,False,False,True,24.956864973999554,11.940695887519386,13.016169086480168
2023-08-20 01:00:00,2.355786977,0.477636,1,6,8,20,2.355786977,96.61257208,86.95131487200001,True,94.58560527642855,92.22981829942856,97.50935993895143,False,False,True,1.125208668546372,44.05228149326586,-42.92707282471949
2023-08-20 02:00:00,85.42839409,0.301427,2,6,8,20,85.42839409,96.61257208,86.95131487200001,True,94.58560527642855,9.157211186428555,9.681400419933244,False,False,True,25.750424545366428,2.7602306962916,22.990193849074828
2023-08-20 03:00:00,94.43519924,0.371548,3,6,8,20,94.43519924,96.61257208,86.95131487200001,False,94.58560527642855,0.15040603642854933,0.15901577834067276,False,True,True,35.08720940722352,0.05588306202295464,35.03132634520056
2023-08-20 04:00:00,96.47527572,0.3698039999999999,4,6,8,20,96.47527572,96.61257208,86.95131487200001,False,94.58560527642855,-1.8896704435714469,0.0,False,False,False,35.67694286235887,0.0,35.67694286235887
2023-08-20 05:00:00,95.91190246,0.619471,5,6,8,20,95.91190246,96.61257208,86.95131487200001,False,94.58560527642855,-1.326297183571441,0.0,False,False,False,59.414642128798654,0.0,59.414642128798654
2023-08-20 06:00:00,95.60411088,0.431079,6,6,8,20,95.60411088,96.61257208,86.95131487200001,False,94.58560527642855,-1.018505603571441,0.0,False,False,False,41.212924514039514,0.0,41.212924514039514
2023-08-20 07:00:00,95.02100188,0.440532,7,6,8,20,95.02100188,96.61257208,86.95131487200001,False,94.58560527642855,-0.4353966035714478,0.0,False,False,False,41.85979200020016,0.0,41.85979200020016
2023-08-20 08:00:00,94.76434698,0.420197,8,6,8,20,94.76434698,96.61257208,86.95131487200001,False,94.58560527642855,-0.17874170357144692,0.0,False,False,False,39.81969430795506,0.0,39.81969430795506
2023-08-20 09:00:00,94.52454074,0.386584,9,6,8,20,94.52454074,96.61257208,86.95131487200001,False,94.58560527642855,0.061064536428546035,0.06456007364977319,False,False,False,36.54167505743216,0.0,36.54167505743216
2023-08-20 10:00:00,93.66139394,0.557237,10,6,8,20,93.66139394,96.61257208,86.95131487200001,False,94.58560527642855,0.9242113364285558,0.9771162680912465,False,False,False,52.19159417494377,0.0,52.19159417494377
2023-08-20 11:00:00,93.80629597,0.804098,11,6,8,20,93.80629597,96.61257208,86.95131487200001,False,94.58560527642855,0.7793093064285586,0.8239195638184158,False,False,False,75.42945497688505,0.0,75.42945497688505
2023-08-20 12:00:00,93.19417442,0.7700159999999999,12,6,8,20,93.19417442,96.61257208,86.95131487200001,False,94.58560527642855,1.3914308564285562,1.4710809878121183,False,False,False,71.7610054101907,0.0,71.7610054101907
2023-08-20 13:00:00,94.33591403,0.614124,13,6,8,20,94.33591403,96.61257208,86.95131487200001,False,94.58560527642855,0.24969124642855434,0.2639844040737764,False,False,False,57.93394886775972,0.0,57.93394886775972
2023-08-20 14:00:00,96.61257208,0.6687430000000001,14,6,8,20,96.61257208,96.61257208,86.95131487200001,False,94.58560527642855,-2.0269668035714545,0.0,False,False,False,64.60898129049545,0.0,64.60898129049545
2023-08-20 15:00:00,94.5648179,0.7806879999999999,15,6,8,20,94.5648179,96.61257208,86.95131487200001,False,94.58560527642855,0.02078737642855799,0.021977315013004796,True,False,True,73.82561855671518,0.01622845532925808,73.80939010138593
2023-08-20 16:00:00,91.28692763,0.7923060000000001,16,6,8,20,91.28692763,96.61257208,86.95131487200001,False,94.58560527642855,3.2986776464285583,3.4875049293051505,False,False,True,72.32718048281478,2.6135620913312256,69.71361839148355
2023-08-20 17:00:00,84.19724483,0.666817,17,6,8,20,84.19724483,96.61257208,86.95131487200001,True,94.58560527642855,10.38836044642855,10.983024759495203,False,False,True,56.14415420580611,6.927135347806146,49.21701885799996
2023-08-20 18:00:00,50.40555867,0.904275,18,6,8,20,50.40555867,96.61257208,86.95131487200001,True,94.58560527642855,44.180046606428554,46.709059457103834,False,False,True,45.58048656631425,39.950911645028185,5.629574921286064
2023-08-20 19:00:00,4.652251458,2.549629,19,6,8,20,4.652251458,96.61257208,86.95131487200001,True,94.58560527642855,89.93335381842856,95.08143819093435,False,False,True,11.861515232609083,229.29668696272617,-217.43517173011708
